service_id,service_name,region,city,latitude,longitude,phone,email,wheelchair_access,Healthlink_EDI,practitioner_id,practitioner_name,practitioner_type,specialisation,practitioner_role
hp-service-683218,Simply Dental,Wellington,Wellington,-41.2859363,174.7758543,(04) 473 9283,,,,,,,,
hp-service-536780,Plimmer Steps Medical Centre,Wellington,Wellington,-41.2859363,174.7758543,(04) 472 6024,reception@plimmerstepsmedical.co.nz,,plimmswt,hp-prac-1160752,Dr Kimberley Williams,,General Practitioner - Vocationally Registered,
hp-service-536780,Plimmer Steps Medical Centre,Wellington,Wellington,-41.2859363,174.7758543,(04) 472 6024,reception@plimmerstepsmedical.co.nz,,plimmswt,hp-prac-1160757,Dr Claire Jackson,,General Practitioner - Vocationally Registered,
hp-service-536780,Plimmer Steps Medical Centre,Wellington,Wellington,-41.2859363,174.7758543,(04) 472 6024,reception@plimmerstepsmedical.co.nz,,plimmswt,hp-prac-1588614,Dr Olga Vigasin,,General Practitioner,
hp-service-1023778,Focal Point Optometrists,Wellington,Wellington,-41.2859363,174.7758543,(04) 472 6662,,,,,,,,
hp-service-1374209,He Herenga Kura Community Services,Wellington,Wellington,-41.2871666,174.7770541,0800 ĀWHINA/0800 294 462,web-inquiry@nkkp.org.nz,,,,,,,
hp-service-1023790,OPSM - Lambton Quay,Wellington,Wellington,-41.2855013,174.7760481,(04) 471 0310,,,,,,,,
hp-service-969392,TBI Health - Wellington CBD,Wellington,Wellington Central,-41.2869672,174.7774148,(04) 499 4564,,,,,,,,
hp-service-958249,Central City Physiotherapy Clinic,Wellington,Wellington,-41.2855471,174.77560700000004,(04) 499 3504,,,,,,,,
hp-service-754202,Unichem Cashel Pharmacy,Canterbury,Christchurch,-43.53277629999999,172.63583140000003,(03) 595 1289,,,,,,,,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1667210,Dr Kaden Toms,,General Practitioner,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1876098,Dr Gareth Iremonger,,General Practitioner,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1456426,Dr Mary Elliott,,General Practitioner,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1157506,Dr Yi Gao,,General Practitioner,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1290017,Dr Diarmuid White,,General Practitioner,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1173271,Dr Liz Schroder,,General Practitioner - Vocationally Registered,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1173277,Dr Rachelle Pound,,General Practitioner - Vocationally Registered ,
hp-service-535324,The Christchurch Doctors,Canterbury,Christchurch,-43.5321144,172.63748680000003,(03) 366 3391,admin@chdocs.pegasus.net.nz,,drstrang,hp-prac-1286231,Dr Jessica Ball,,General Practitioner,
hp-service-1021859,OPSM - The Crossing,Canterbury,Christchurch,-43.5336287,172.6373259,(03) 379 6307,,,,,,,,
hp-service-1021826,"Bailey Nelson - Cashel Street, Christchurch",Canterbury,Linwood-Central-Heathcote Community,-43.5330812,172.6341576,(03) 930 6645,,,,,,,,
hp-service-734021,NZ Police Child Protection Team - Canterbury,Canterbury,Christchurch,-43.5343942,172.6351869,,cpp.christchurch@police.govt.nz,,,,,,,
hp-service-734016,NZ Police Adult Sexual Assault Team - Canterbury,Canterbury,Christchurch,-43.5343942,172.6351869,(03) 363 7400 ,,,,,,,,
hp-service-1666873,Groovy Glasses,Canterbury,"17 New Regent Street, Christchurch",-43.52936675,172.63857932346076,(03) 379 8747,,,,,,,,
hp-service-682075,Lumino The Dentists - Christchurch City,Canterbury,Christchurch,-43.52973089999999,172.63236870000003,(03) 550 1428,,,,,,,,
hp-service-1014842,Lumino On Cambridge,Canterbury,Christchurch,-43.53374789999999,172.6316469,(03) 366 1948,,,,,,,,
hp-service-682033,Moriarty Dental,Canterbury,Christchurch,-43.5311089,172.63110459999996,(03) 366 3697,,,,,,,,
hp-service-536558,Dunedin City Pharmacy,Dunedin - South Otago,Dunedin,-45.8746638,170.50330180000003,(03) 477 0501,dispensary@dcpharmacy.nz,,,,,,,
hp-service-536522,Antidote Octagon,Dunedin - South Otago,Dunedin,-45.8736001,170.5041463,(03) 477 1289,octagon@antidote.nz,,octagchm,,,,,
hp-service-734907,Age Concern Otago Inc,Dunedin - South Otago,Dunedin,-45.8739228,170.5047091,(03) 477 1040,agecon@ageconcernotago.co.nz,,,,,,,
hp-service-1028652,Brain Injury Association Otago,Central Lakes,Dunedin,-45.8734921,170.50419720000002,(03) 471 6156,manager.dunedin@brain-injury.org.nz,,,,,,,
hp-service-1013644,Dunedin Orthodontics Limited,Dunedin - South Otago,Dunedin,-45.8734921,170.50419720000002,(03) 477 6655,,,,,,,,
hp-service-683443,Octagon Dental Suite,Dunedin - South Otago,Dunedin,-45.8734921,170.50419720000002,(03) 477 7993,reception@octagondental.co.nz,,,,,,,
hp-service-905445,Dr Dorothy Boyd - Paediatric Dentist,Dunedin - South Otago,Dunedin,-45.8734921,170.50419720000002,(03) 479 2372,admin@dentalspecialist.co.nz,,,hp-prac-905609,Dr Dorothy Boyd,,Paediatric Dentistry Specialist,
hp-service-740394,Advantage South,Central Lakes,Dunedin,-45.8734921,170.50419720000002,(03) 477 9866 / 0800 238 768,support@advantagesouth.co.nz,,,,,,,
hp-service-683439,Gentle Dental - Dunedin,Dunedin - South Otago,Dunedin,-45.8734921,170.50419720000002,(03) 477 6071,,,,,,,,
hp-service-1297591,Livingwell Disability Resource Centre,Central Lakes,Dunedin,-45.8734921,170.50419720000002,(03) 471 6152 or 0800 115 891,info@livingwellcentre.nz,,,,,,,
hp-service-1023739,Specsavers - Hamilton CBD,Waikato,Hamilton,-37.78560899999999,175.2794618,(07) 839 5094,,,,,,,,
hp-service-1070144,Habit Health - Centre Place,Waikato,Hamilton,-37.785826,175.28026620000003,(07) 985 6797,hamilton@habit.health,,,hp-prac-1708477,Amanda Sequeira,,Physiotherapist,
hp-service-1023706,OPSM - Hamilton,Waikato,Hamilton,-37.785826,175.28026620000003,(07) 838 1472,,,,,,,,
hp-service-1087877,Chemist Warehouse Centre Place,Waikato,Hamilton,-37.785826,175.28026620000003,(07) 974 0734,centreplace2@chemistwarehouse.co.nz,,vp8a84tu,,,,,
hp-service-678740,Lumino The Dentists - Garden Place Dental,Waikato,Hamilton,-37.7875449,175.28159970000002,(07) 839 5862,gardenplace@lumino.co.nz,,,,,,,
hp-service-1023700,Gates by Paterson Burn,Waikato,Hamilton,-37.7861053,175.281556,(07) 839 6996,,,,,,,,
hp-service-1023721,Paterson Burn Optometrists - Hamilton,Waikato,Hamilton,-37.7855168,175.2775075,(07) 839 3072,,,,,,,,
hp-service-593942,City Smile Dental,Waikato,Hamilton,-37.7855621,175.28181240000004,0800248976,Citysmilecentre@hotmail.com,,,,,,,
hp-service-1379277,Tuu Oho Mai Services,Waikato,Hamilton,-37.7850233,175.2766861,(07) 834 3148,referrals@tuuohomai.org.nz,,,,,,,
hp-service-538527,Wintec Health Services,Waikato,Hamilton,-37.789904,175.278732,,,,polycare,,,,,
hp-service-1021199,Peggy Chen - New Plymouth Dermatologist,Taranaki,New Plymouth,-39.05965,174.075172,(06) 968 1468,reception@skincancerandmohsurgery.com,,skinmohs,hp-prac-681627,Dr Peggy Chen,,Dermatologist,
hp-service-935208,New Plymouth Dental Centre,Taranaki,New Plymouth,-39.0589862,174.0772296,(06) 758 2433,npdental@soegateway.com,,,,,,,
hp-service-597156,Vivian Dental,Taranaki,New Plymouth,-39.0609414,174.07123839999997,(06) 758 4747,viviandental.taranaki@gmail.com,,,,,,,
hp-service-974798,Central Audiology Taranaki - New Plymouth,Taranaki,New Plymouth,-39.0599654,174.07144919999996,0800 751 000,,,,,,,,
hp-service-774244,Taranaki Retreat,Taranaki,New Plymouth,-39.0582572,174.07338679999998,(06) 215 0993,waimanako@taranakiretreat.org.nz,,,,,,,
hp-service-935200,Happy Teeth Dental Practice,Taranaki,New Plymouth,-39.0580676,174.0736538,(06) 759 8288,,,,,,,,
hp-service-1960407,I-MED Radiology - Magnet House (Taranaki Radiology),Taranaki,New Plymouth,-39.06100240000001,174.0707798,(06) 759 4317 extension 710,bookings@taranakiradiology.co.nz,,,hp-prac-1705772,Dr Maren Krueger,,Consultant Radiologist & Director,
hp-service-1960407,I-MED Radiology - Magnet House (Taranaki Radiology),Taranaki,New Plymouth,-39.06100240000001,174.0707798,(06) 759 4317 extension 710,bookings@taranakiradiology.co.nz,,,hp-prac-1705758,Dr Alina Leigh,,Consultant Radiologist & Director,
hp-service-1960407,I-MED Radiology - Magnet House (Taranaki Radiology),Taranaki,New Plymouth,-39.06100240000001,174.0707798,(06) 759 4317 extension 710,bookings@taranakiradiology.co.nz,,,hp-prac-1705768,Dr Dana Tipene-Hook,,Consultant Radiologist & Director,
hp-service-537704,Vivian Medical Centre,Taranaki,New Plymouth,-39.0604592,174.07073430000003,(06) 758 5015,practicemanager@vmc.co.nz,,vivmcnpl,hp-prac-1145277,Dr Christina Jenkins,,General Practitioner,
hp-service-537704,Vivian Medical Centre,Taranaki,New Plymouth,-39.0604592,174.07073430000003,(06) 758 5015,practicemanager@vmc.co.nz,,vivmcnpl,hp-prac-1128421,Dr Judith Teague,,General Practitioner Vocationally Registered,
hp-service-537704,Vivian Medical Centre,Taranaki,New Plymouth,-39.0604592,174.07073430000003,(06) 758 5015,practicemanager@vmc.co.nz,,vivmcnpl,hp-prac-1128423,Dr Rob Pascoe,,General Practitioner Vocationally Registered,
hp-service-537704,Vivian Medical Centre,Taranaki,New Plymouth,-39.0604592,174.07073430000003,(06) 758 5015,practicemanager@vmc.co.nz,,vivmcnpl,hp-prac-1128414,Dr Angela Lawson,,General Practitioner,
hp-service-537704,Vivian Medical Centre,Taranaki,New Plymouth,-39.0604592,174.07073430000003,(06) 758 5015,practicemanager@vmc.co.nz,,vivmcnpl,hp-prac-1128425,Dr Joanne Pascoe,,General Practitioner Vocationally Registered,
hp-service-537704,Vivian Medical Centre,Taranaki,New Plymouth,-39.0604592,174.07073430000003,(06) 758 5015,practicemanager@vmc.co.nz,,vivmcnpl,hp-prac-1128419,Dr Stephen Smith,,General Practitioner Vocationally Registered,
hp-service-1691528,Full Circle Physiotherapy - New Plymouth,Taranaki,New Plymouth,-39.0576065,174.0744783,021 082 47798,,,,,,,,
hp-service-1096256,Tahi,Taranaki,New Plymouth,-39.0575291,174.074351,,,,,,,,,
hp-service-554348,Lake Taupo Hospice,Lakes,Taupo,-38.6713042,176.07498510000005,(07) 377 4252,info@laketaupohospice.co.nz,,,,,,,
hp-service-828449,Youthtown Taupo,Lakes,Taupo,-38.6786462,176.09391930000004,0800 004 566,info@youthtown.org.nz,,,,,,,
hp-service-950937,Lake Taupō Osteopathy,Lakes,Taupo,-38.6788378,176.09357969999996,(07) 376 7570,,,,,,,,
hp-service-951273,Richard Chow Osteopathic Clinic,Lakes,Taupo,-38.6808945,176.08115399999997,(07) 377 8081,,,,,,,,
hp-service-825092,Anamata - YOSS,Lakes,Taupō,-38.6816228,176.081386,0800 262 6282,info@anamata.org.nz,,,,,,,
hp-service-1687454,Great Lake Physio,Lakes,Taupō,-38.6818192,176.0884963,(07) 378 9355,,,,,,,,
hp-service-680704,Independent Living Choices Ltd,Lakes,Taupo,-38.681155,176.09423449999997,(07) 377 1224,michelle.ilc@xtra.co.nz,,,,,,,
hp-service-825085,Age Concern Taupo,Lakes,Taupo,-38.6827742,176.0784082,(07) 378 9712,admin@ageconcerntaupo.org.nz,,,,,,,
hp-service-825294,Family & Financial Solutions Trust,Lakes,Taupō,-38.6827673,176.0782644,(07) 376 8166,admin@ffsolutionz.co.nz,,,,,,,
hp-service-833653,Taupo Dental Centre,Lakes,Taupo,-38.68285359999999,176.07770030000006,(07) 378 9069,,,,,,,,
